time,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,aqi
44927.0,17.9,2.21,0.45,0.13,0.8,14,14.9,13.9,30,14,0,81,1.9,2.34,285,260,0.8,0.2,28.0
44927.04,17.7,2.18,0.42,0.12,0.6,15.7,16.4,12.4,27,21,0,85,1.2,2.3,319,308,0.9,0.2,31.0
44927.08,17.6,2.22,0.46,0.14,0.4,15,15.5,11.3,29,20,0,86,1.1,2.36,176,159,0.2,0.1,38.0
44927.13,17.2,2.2,0.5,0.14,1.3,17.9,19.2,4.3,36,27,0,89,1.1,2.34,136,135,0.7,0.8,44.0
44927.17,17,2.22,0.46,0.13,1.1,15.8,17,5.7,32,28,0,90,0.9,2.35,256,278,1.5,0.6,54.0
44927.21,17,2.26,0.44,0.12,1,14.8,15.8,7,26,20,0,92,0.8,2.38,236,131,0.3,0.2,61.0
44927.25,17.3,2.28,0.49,0.2,1.5,16.1,17.6,5.2,35,28,0,90,1,2.48,140,129,0.3,0.2,61.0
44927.29,17.4,2.37,0.64,0.28,6.6,19,25.7,2.3,38,32,0,90,1,2.65,222,194,0.2,0.1,66.0
44927.33,17.6,2.7,0.7,0.29,11.8,18.3,30.2,3.2,41,38,0,92,1,2.99,216,232,0.2,0,69.0
44927.38,18,2.94,0.75,0.27,10.3,17.9,28.3,6.7,48,39,0.5,91,1.1,3.21,263,264,0.8,0.4,75.0
44927.42,18.7,2.48,0.66,0.24,9.9,19.7,29.6,13,42,32,0,89,1.3,2.72,274,207,0.4,0.5,84.0
44927.46,20.1,2.24,0.56,0.16,6.2,19.3,25.6,22.1,33,25,0,84,1.3,2.4,309,316,1,0.7,88.0
44927.5,21,2.12,0.4,0.1,2.5,12.4,14.9,28.6,28,19,0,81,1.6,2.22,323,257,0.4,0.3,87.0
44927.54,21.2,2.15,0.43,0.1,2.1,13.3,15.4,29.9,44,23,0,80,1.7,2.25,274,285,1.2,1.3,82.0
44927.58,21.4,2.11,0.4,0.09,1.5,12.7,14.2,33.7,36,22,0,78,1.4,2.2,322,324,0.6,0.3,77.0
44927.63,21.5,2.1,0.37,0.08,1.1,12.3,13.5,33.4,36,15,0,79,1.3,2.18,347,338,1.1,0.5,74.0
44927.67,20.9,2.07,0.31,0.05,0.6,12,12.7,31.9,47,18,0,81,1,2.12,340,351,1.4,1.3,70.0
